file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0485_0259_2056953_to_2061168,ཨེ་ནས་ཡང་མངར་མོ་རིགས་འདྲ་བོ་འདུག་ཡོད་བ། བག་ལེབ་མངར་མོ་རིགས་འདྲ་བོ་དང་ཨེ་ནས།  ,e nas yang mngar mo rigs 'dra bo 'dug yod ba/_bag leb mngar mo rigs 'dra bo dang e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0485_0259_2056953_to_2061168.wav,STT_NS,3,77,4.215,wav16k/STT_NS_M0485_0259_2056953_to_2061168.wav,ཨེ་ནས་ཡང་མངར་མོའི་རིགས་འདྲ་བོ་འདུག་ཡོད་བ། བག་ལེབ་མངར་མོའ་རིགས་འདྲ་བོ་དང་ཨེ་ནས།
STT_NS_M0485_0262_2102954_to_2105497,ཨེ་ནས་དང་པོ་ཕོར་བ་དེ་ཉོས། ཨེ་ནས་ཁྱེར་ནས་འགྲོ་ཡི་རཱ།  ,e nas dang po phor ba de nyos/_e nas khyer nas 'gro yi rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0485_0262_2102954_to_2105497.wav,STT_NS,3,53,2.543,wav16k/STT_NS_M0485_0262_2102954_to_2105497.wav,ཨེ་ནས་དང་པོ་ཕོར་བ་དེ་ཉོས། ཨེ་ནས་ཁྱེར་ནས་འགྲོ་ཡི་རཱ།
STT_NS_M0485_0269_2147206_to_2150736,ག་རེ་དགོས། ད་ག་རེ་སོ་སོ་ལ་ག་རེ་དགོས་ཡོད་ན་ད་རིན་པ་གཅིག ,ga re dgos/_da ga re so so la ga re dgos yod na da rin pa gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0485_0269_2147206_to_2150736.wav,STT_NS,3,55,3.53,wav16k/STT_NS_M0485_0269_2147206_to_2150736.wav,ག་རེ་དགོས་ད་ག་རེ་སོ་སོ་ལ་ག་རེ་དགོས་ཡོད་ནས་ད་རིན་པ་གཅིག
STT_MV0060_0268_1861513_to_1867019,ཁྱེད་རང་གིས་ད་དུང་དེ་གསུངས་ནུས་ཀི་འདུག་གི ངས་ཁྱེད་རང་དྲི་དགོས། ཁྱེད་རང་གི་བཀའ་མོལ་ལ་ག་དུས་མཐའ་སྐྱེལ་མྱོང་ཡོད།  ,khyed rang gis da dung de gsungs nus ki 'dug gi_ngas khyed rang dri dgos/_khyed rang gi bka' mol la ga dus mtha' skyel myong yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0268_1861513_to_1867019.wav,STT_MV,3,111,5.506,wav16k/STT_MV0060_0268_1861513_to_1867019.wav,ཁྱེད་རང་གིས་ད་དུང་འདི་གསུང་ནུས་ཀི་འདུག་གེ ངས་ཁྱེད་རང་དྲི་དགོས། ཁྱེད་རང་གི་བཀའ་མོལ་ལ་ག་དུས་མཐའ་སྐྱེལ་མྱོང་ཡོད།
STT_MV0060_0254_1783033_to_1790348,འགྲིག་གི་རེད་ཡང་ན་འགྲིག་གི་མ་རེད། འགྲིག་ན་བཀའ་མོལ་ག་རེ་ཡོད་ན། མ་འགྲིག་ན་བཀའ་མོལ་ག་རེ་ཡོད་ན། གལ་སྲིད་མ་འགྲིག་ན།  ,'grig gi red yang na 'grig gi ma red/_'grig na bka' mol ga re yod na/_ma 'grig na bka' mol ga re yod na/_gal srid ma 'grig na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0254_1783033_to_1790348.wav,STT_MV,3,112,7.315,wav16k/STT_MV0060_0254_1783033_to_1790348.wav,འགྲིག་གི་རེད། ཡང་ན་འགྲིག་གི་མ་རེད། འགྲིག་ན་བཀའ་མོལ་ག་རེ་ཡོད་ན། མ་འགྲིག་ན་བཀའ་མོལ་ག་རེ་ཡོད་ན། གལ་སྲིད་མ་འགྲིག་ན།
STT_MV0060_0286_1955632_to_1959451,རང་དང་ཅི་འཕྲོས་མོལ་འཕྲོས་བཤད་ཡ་ཡིན། སྐུ་ངོ་ནི་ཐུགས་ལྷོད་མདོག་ལ་ཨ།  ,rang dang ci 'phros mol 'phros bshad ya yin/_sku ngo ni thugs lhod mdog la a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0286_1955632_to_1959451.wav,STT_MV,3,67,3.819,wav16k/STT_MV0060_0286_1955632_to_1959451.wav,རང་དང་ཅི་འཕྲོས་མོལ་འཕྲོས་བཤད་ཡ་ཡོད། སྐུ་ངོ་ནི་ཐུགས་ལྷོད་མདོག་ལ་ཨ།
STT_MV0060_0287_1959451_to_1963550,དེ་འདྲས་ཨེ་ཡིན། ཁྱེད་རང་ལ་དོན་དག་ཅིག་གསུང་ཡ་ཡོད་པ་ཐག་ཆོད།  ,de 'dras e yin/_khyed rang la don dag cig gsung ya yod pa thag chod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0287_1959451_to_1963550.wav,STT_MV,3,59,4.099,wav16k/STT_MV0060_0287_1959451_to_1963550.wav,དེ་འདྲས་ཨ་ཡིན། ཁྱེད་རང་ལ་དོན་དག་ཅིག་གསུང་ཡ་ཡོད་པ་ཐག་ཆོད།
STT_MV0060_0269_1867019_to_1872458,ཨ་ཙི། ཞིས་ལའེ་ལི་གིས་མཐའ་མ་སྐྱེལ་ནས་དཔོན་ཆེན་ངས་བཤད་པ།  ,a tsi/_zhis la'e li gis mtha' ma skyel nas dpon chen ngas bshad pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0060_0269_1867019_to_1872458.wav,STT_MV,3,56,5.439,wav16k/STT_MV0060_0269_1867019_to_1872458.wav,ཨ་ཙི། ཞིས་ལའེ་ལི་གིས་མཐའ་མ་སྐྱལ་ནས་དཔོན་ཆེན་ངས་བཤད་པ།
STT_MV0496_0189_1493980_to_1503897,ངར་གདེང་ཚོད་ཆེན་པོ་ཡོད། ངས་ཁོང་གི་བློ་བཀུག་ཐུབ་པ་ཞུས་བྱས། དམག་དཔུང་ཕྱིར་འཐེན་བྱེད་མི་དགོས་ཡ་ཞུ་གི་ཡིན།  ,ngar gdeng tshod chen po yod/_ngas khong gi blo bkug thub pa zhus byas/_dmag dpung phyir 'then byed mi dgos ya zhu gi yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0496_0189_1493980_to_1503897.wav,STT_MV,3,104,9.917,wav16k/STT_MV0496_0189_1493980_to_1503897.wav,ངར་གདེང་ཚོད་ཆེན་པོ་ཡོད། ངས་ཁོང་གི་བློ་ཁུག་ཐུབ་པ་ཞུས་བྱས། དམག་དཔུང་ཕྱིར་འཐེན་བྱེད་མི་དགོས་ཡ་ཞུ་གི་ཡིན།
STT_MV0063_0001_16431_to_18221,ཁྱེད་རང་མུ་མཐུད་བརྡར་གནང་།  ,khyed rang mu mthud brdar gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0063_0001_16431_to_18221.wav,STT_MV,3,28,1.79,wav16k/STT_MV0063_0001_16431_to_18221.wav,ཁྱེད་རང་མུ་མཐུད་བརདར་གནང་།
